job_id,product_type,quantity,paper_gsm,color_pages,trim_area_sqin,ink_coverage_pct,coating,quote_hour,total_cost_usd
JOB-0001,Banner,1780,170,12,1728.0,84.92,0,11,2438.84
JOB-0002,Flyer,2149,170,1,187.0,59.88,0,9,1687.96
JOB-0003,Empaque,1067,170,1,864.0,77.84,1,15,1548.61
JOB-0004,Banner,962,300,8,432.0,79.06,0,8,1484.31
JOB-0005,Poster,1788,200,1,864.0,71.44,1,13,1905.89
JOB-0006,Empaque,426,200,8,864.0,49.96,1,16,1224.16
JOB-0007,Banner,636,300,8,432.0,25.28,0,18,1227.07
JOB-0008,Banner,1522,250,8,187.0,21.03,0,11,1381.66
JOB-0009,Poster,1688,300,1,432.0,51.02,1,8,1761.59
JOB-0010,Flyer,343,300,1,864.0,52.13,1,15,1116.61
JOB-0011,Flyer,1295,150,16,1728.0,46.48,0,8,2079.65
JOB-0012,Empaque,944,170,1,1728.0,56.93,0,8,1658.33
JOB-0013,Lookbook,1279,250,12,187.0,55.89,1,18,1482.78
JOB-0014,Banner,2399,300,1,432.0,74.38,0,17,2154.21
JOB-0015,Flyer,237,150,1,93.5,27.06,0,15,471.04
JOB-0016,Poster,2489,170,12,864.0,34.64,0,17,2205.95
JOB-0017,Lookbook,1151,200,16,1728.0,71.55,0,8,2175.48
JOB-0018,Poster,1942,250,12,93.5,75.11,1,8,2013.58
JOB-0019,Banner,1090,150,12,432.0,84.66,0,11,1536.67
JOB-0020,Lookbook,812,250,1,1728.0,76.74,0,8,1772.43
JOB-0021,Banner,1938,170,16,1728.0,77.84,1,17,2629.8
JOB-0022,Flyer,1735,170,8,216.0,40.43,0,8,1607.19
JOB-0023,Empaque,403,200,1,93.5,46.11,0,13,765.12
JOB-0024,Empaque,1778,200,1,1728.0,37.43,1,17,2226.7
JOB-0025,Banner,1895,250,12,1728.0,59.41,0,16,2459.34
JOB-0026,Poster,1000,170,1,432.0,81.02,1,10,1314.56
JOB-0027,Flyer,2318,300,12,1728.0,42.4,0,13,2754.16
JOB-0028,Poster,1620,150,1,93.5,56.21,0,14,1261.82
JOB-0029,Poster,867,300,1,432.0,39.26,0,16,1205.91
